Parameters,Accuracy,Precision,Recall,F1 Score
"criterion=entropy, max_depth=10, min_samples_split=5, n_estimators=50",0.8708630759247242,0.9902912621359223,0.34,0.5062034739454094
"criterion=entropy, max_depth=10, min_samples_split=5, n_estimators=100",0.8682673588578845,0.970873786407767,0.3333333333333333,0.49627791563275436
"criterion=entropy, max_depth=10, min_samples_split=5, n_estimators=200",0.8708630759247242,0.9902912621359223,0.34,0.5062034739454094
"criterion=entropy, max_depth=10, min_samples_split=10, n_estimators=50",0.8702141466580143,0.9901960784313726,0.33666666666666667,0.5024875621890548
"criterion=entropy, max_depth=10, min_samples_split=10, n_estimators=100",0.8689162881245944,0.9803921568627451,0.3333333333333333,0.4975124378109453
"criterion=entropy, max_depth=10, min_samples_split=10, n_estimators=200",0.872160934458144,1.0,0.3433333333333333,0.511166253101737
"criterion=entropy, max_depth=20, min_samples_split=2, n_estimators=50",0.9604153147306943,0.9723320158102767,0.82,0.8896925858951176
"criterion=entropy, max_depth=20, min_samples_split=2, n_estimators=100",0.9558728098637248,0.9715447154471545,0.7966666666666666,0.8754578754578755
"criterion=entropy, max_depth=20, min_samples_split=2, n_estimators=200",0.9565217391304348,0.97165991902834,0.8,0.8775137111517367
"criterion=entropy, max_depth=20, min_samples_split=5, n_estimators=50",0.9591174561972745,0.9721115537848606,0.8133333333333334,0.8856624319419237
"criterion=entropy, max_depth=20, min_samples_split=5, n_estimators=100",0.9565217391304348,0.97165991902834,0.8,0.8775137111517367
"criterion=entropy, max_depth=20, min_samples_split=5, n_estimators=200",0.9552238805970149,0.9714285714285714,0.7933333333333333,0.8733944954128441
"criterion=entropy, max_depth=20, min_samples_split=10, n_estimators=50",0.9571706683971447,0.968,0.8066666666666666,0.88
"criterion=entropy, max_depth=20, min_samples_split=10, n_estimators=100",0.9532770927968851,0.9710743801652892,0.7833333333333333,0.8671586715867159
"criterion=entropy, max_depth=20, min_samples_split=10, n_estimators=200",0.954574951330305,0.9713114754098361,0.79,0.8713235294117647
"criterion=entropy, max_depth=30, min_samples_split=2, n_estimators=50",0.9785853341985724,0.9377049180327869,0.9533333333333334,0.9454545454545454
"criterion=entropy, max_depth=30, min_samples_split=2, n_estimators=100",0.9805321219987021,0.9470198675496688,0.9533333333333334,0.9501661129568106
"criterion=entropy, max_depth=30, min_samples_split=2, n_estimators=200",0.981829980532122,0.9503311258278145,0.9566666666666667,0.9534883720930233
"criterion=entropy, max_depth=30, min_samples_split=5, n_estimators=50",0.9792342634652823,0.9379084967320261,0.9566666666666667,0.9471947194719472
"criterion=entropy, max_depth=30, min_samples_split=5, n_estimators=100",0.9798831927319922,0.946843853820598,0.95,0.9484193011647255
"criterion=entropy, max_depth=30, min_samples_split=5, n_estimators=200",0.9805321219987021,0.9411764705882353,0.96,0.9504950495049505
"criterion=entropy, max_depth=30, min_samples_split=10, n_estimators=50",0.9779364049318624,0.934640522875817,0.9533333333333334,0.9438943894389439
"criterion=entropy, max_depth=30, min_samples_split=10, n_estimators=100",0.9811810512654121,0.9442622950819672,0.96,0.9520661157024793
"criterion=entropy, max_depth=30, min_samples_split=10, n_estimators=200",0.981829980532122,0.9444444444444444,0.9633333333333334,0.9537953795379538
